"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Claude Monet","claude-monet","View At Rouelles Le Havre","1858","1280","797","1.02","https://uploads0.wikiart.org/images/claude-monet/view-at-rouelles-le-havre.jpg","0001_View_At_Rouelles_Le_Havre_1280x797.jpg","321067"
"2","Claude Monet","claude-monet","A Corner of the Studio","1861","881","1273","1.12","https://uploads0.wikiart.org/images/claude-monet/a-corner-of-the-studio(1).jpg","0002_A_Corner_of_the_Studio_881x1273.jpg","248744"
"3","Claude Monet","claude-monet","Trophies of the Hunt","1862","850","1200","1.02","https://uploads4.wikiart.org/images/claude-monet/trophies-of-the-hunt.jpg","0003_Trophies_of_the_Hunt_850x1200.jpg","493505"
"4","Claude Monet","claude-monet","A Farmyard in Normandy","1863","1280","974","1.25","https://uploads0.wikiart.org/images/claude-monet/a-farmyard-in-normandy(1).jpg","0004_A_Farmyard_in_Normandy_1280x974.jpg","244116"
"5","Claude Monet","claude-monet","Still Life With Bottles","1863","1280","850","1.09","https://uploads3.wikiart.org/images/claude-monet/still-life-with-bottles-1863.jpg","0005_Still_Life_With_Bottles_1280x850.jpg","405262"
"6","Claude Monet","claude-monet","Boatyard near Honfleur","1864","1280","907","1.16","https://uploads6.wikiart.org/images/claude-monet/boatyard-near-honfleur.jpg","0006_Boatyard_near_Honfleur_1280x907.jpg","275089"
"7","Claude Monet","claude-monet","By the Sea","1864","1973","1285","2.54","https://uploads3.wikiart.org/images/claude-monet/by-the-sea.jpg","0007_By_the_Sea_1973x1285.jpg","943055"
"8","Claude Monet","claude-monet","Farm near Honfleur","1864","1218","1024","1.25","https://uploads2.wikiart.org/images/claude-monet/farm-near-honfleur.jpg","0008_Farm_near_Honfleur_1218x1024.jpg","242498"
"9","Claude Monet","claude-monet","Hauling a Boat Ashore, Honfleur","1864","1280","835","1.07","https://uploads5.wikiart.org/images/claude-monet/hauling-a-boat-ashore-honfleur.jpg","0009_Hauling_a_Boat_Ashore,_Honfleur_1280x835.jpg","212204"
"10","Claude Monet","claude-monet","Lighthouse at the Hospice","1864","1280","848","1.09","https://uploads0.wikiart.org/images/claude-monet/lighthouse-at-the-hospice.jpg","0010_Lighthouse_at_the_Hospice_1280x848.jpg","218526"
"11","Claude Monet","claude-monet","Road in a Forest Fontainebleau","1864","900","643","0.58","https://uploads5.wikiart.org/images/claude-monet/road-in-a-forest-fontainebleau.jpg","0011_Road_in_a_Forest_Fontainebleau_900x643.jpg","577869"
"12","Claude Monet","claude-monet","Road to the Saint-Simeon Farm","1864","1000","1785","1.78","https://uploads4.wikiart.org/images/claude-monet/road-to-the-saint-simeon-farm.jpg","0012_Road_to_the_Saint-Simeon_Farm_1000x1785.jpg","822421"
