"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Edvard Munch","edvard-munch","Landscape. Maridalen by Oslo","1881","1975","1587","3.13","https://uploads7.wikiart.org/images/edvard-munch/landscape-maridalen-by-oslo-1881.jpg","0001_Landscape._Maridalen_by_Oslo_1975x1587.jpg","619278"
"2","Edvard Munch","edvard-munch","Old Aker Church","1881","1971","1488","2.93","https://uploads4.wikiart.org/images/edvard-munch/old-aker-church-1881.jpg","0002_Old_Aker_Church_1971x1488.jpg","477391"
"3","Edvard Munch","edvard-munch","Self-Portrait","1882","1221","1690","2.06","https://uploads2.wikiart.org/images/edvard-munch/self-portrait-1882.jpg","0003_Self-Portrait_1221x1690.jpg","301438"
"4","Edvard Munch","edvard-munch","At the Coffee Table","1883","1770","1031","1.82","https://uploads8.wikiart.org/images/edvard-munch/at-the-coffee-table-1883.jpg","0004_At_the_Coffee_Table_1770x1031.jpg","426989"
"5","Edvard Munch","edvard-munch","Aunt Karen in the Rocking Chair","1883","1221","1381","1.69","https://uploads2.wikiart.org/images/edvard-munch/aunt-karen-in-the-rocking-chair-1883.jpg","0005_Aunt_Karen_in_the_Rocking_Chair_1221x1381.jpg","334228"
"6","Edvard Munch","edvard-munch","Girl Kindling a Stove","1883","1330","1989","2.65","https://uploads1.wikiart.org/images/edvard-munch/girl-kindling-a-stove-1883.jpg","0006_Girl_Kindling_a_Stove_1330x1989.jpg","561526"
"7","Edvard Munch","edvard-munch","Morning","1884","1731","1620","2.8","https://uploads5.wikiart.org/images/edvard-munch/morning-1884.jpg","0007_Morning_1731x1620.jpg","466379"
"8","Edvard Munch","edvard-munch","Sister Inger","1884","548","800","0.44","https://uploads1.wikiart.org/images/edvard-munch/sister-inger-1884.jpg","0008_Sister_Inger_548x800.jpg","42189"
"9","Edvard Munch","edvard-munch","Portrait of the Painter Jensen Hjell","1885","1309","2533","3.32","https://uploads7.wikiart.org/images/edvard-munch/portrait-of-the-painter-jensen-hjell-1885.jpg","0009_Portrait_of_the_Painter_Jensen_Hjell_1309x2533.jpg","498589"
"10","Edvard Munch","edvard-munch","The Sick Child","1886","800","828","0.66","https://uploads6.wikiart.org/00139/images/edvard-munch/the-sick-child.jpg","0010_The_Sick_Child_800x828.jpg","238858"
"11","Edvard Munch","edvard-munch","Self portrait","1886","402","530","0.21","https://uploads2.wikiart.org/images/edvard-munch/self-portrait-1886.jpg","0011_Self_portrait_402x530.jpg","61391"
"12","Edvard Munch","edvard-munch","Jurisprudence","1887","800","520","0.42","https://uploads2.wikiart.org/images/edvard-munch/jurisprudence-1887.jpg","0012_Jurisprudence_800x520.jpg","78104"
