"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Frida Kahlo","frida-kahlo","Self Portrait","1922","877","1132","0.99","https://uploads4.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-1922.jpg","0001_Self_Portrait_877x1132.jpg","380099"
"2","Frida Kahlo","frida-kahlo","Self-portrait in a Velvet Dress","1926","1831","2406","4.41","https://uploads4.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-in-a-velvet-dress-1926.jpg","0002_Self-portrait_in_a_Velvet_Dress_1831x2406.jpg","1447531"
"3","Frida Kahlo","frida-kahlo","Portrait of Alicia Galant","1927","1357","1570","2.13","https://uploads7.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-alicia-galant-1927.jpg","0003_Portrait_of_Alicia_Galant_1357x1570.jpg","552779"
"4","Frida Kahlo","frida-kahlo","Portrait of Miguel N. Lira","1927","1626","2441","3.97","https://uploads7.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-miguel-n-lira-1927.jpg","0004_Portrait_of_Miguel_N._Lira_1626x2441.jpg","1096183"
"5","Frida Kahlo","frida-kahlo","Portrait of  Alejandro Gómez Arias","1928","1429","2157","3.08","https://uploads6.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-alejandro-gómez-arias-1928.jpg","0005_Portrait_of_Alejandro_Gómez_Arias_1429x2157.jpg","1041884"
"6","Frida Kahlo","frida-kahlo","Portrait of Cristina My Sister","1928","1681","2246","3.78","https://uploads3.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-cristina-my-sister-1928.jpg","0006_Portrait_of_Cristina_My_Sister_1681x2246.jpg","1362201"
"7","Frida Kahlo","frida-kahlo","Portrait of Lupe Marín","1929","587","727","0.43","https://uploads4.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-lupe-marín-1929.jpg","0007_Portrait_of_Lupe_Marín_587x727.jpg","137659"
"8","Frida Kahlo","frida-kahlo","Portrait of Virginia (Little Girl)","1929","560","776","0.43","https://uploads5.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-virginia-little-girl-1929.jpg","0008_Portrait_of_Virginia_(Little_Girl)_560x776.jpg","326666"
"9","Frida Kahlo","frida-kahlo","Self Portrait - Time Flies","1929","883","1141","1.01","https://uploads6.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-time-flies-1929.jpg","0009_Self_Portrait_-_Time_Flies_883x1141.jpg","383022"
"10","Frida Kahlo","frida-kahlo","The Bus","1929","1825","820","1.5","https://uploads7.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/the-bus-1929.jpg","0010_The_Bus_1825x820.jpg","464986"
"11","Frida Kahlo","frida-kahlo","Two Women","1929","553","750","0.41","https://uploads0.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/two-women-1929.jpg","0011_Two_Women_553x750.jpg","68852"
"12","Frida Kahlo","frida-kahlo","Portrait of a Woman in White","1930","503","750","0.38","https://uploads1.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-a-woman-in-white-1930.jpg","0012_Portrait_of_a_Woman_in_White_503x750.jpg","67531"
"13","Frida Kahlo","frida-kahlo","Self Portrait","1930","1806","2231","4.03","https://uploads4.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-1930.jpg","0013_Self_Portrait_1806x2231.jpg","1441686"
"14","Frida Kahlo","frida-kahlo","Frieda and Diego Rivera","1931","1731","2231","3.86","https://uploads5.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/frieda-and-diego-rivera-1931.jpg","0014_Frieda_and_Diego_Rivera_1731x2231.jpg","869968"
"15","Frida Kahlo","frida-kahlo","Portrait of Dr. Leo Eloesser","1931","1381","2026","2.8","https://uploads0.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-dr-leo-eloesser-1931.jpg","0015_Portrait_of_Dr._Leo_Eloesser_1381x2026.jpg","1022741"
"16","Frida Kahlo","frida-kahlo","Portrait of Eva Frederick","1931","1566","2246","3.52","https://uploads7.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-eva-frederick-1931.jpg","0016_Portrait_of_Eva_Frederick_1566x2246.jpg","1165785"
"17","Frida Kahlo","frida-kahlo","Portrait of Luther Burbank","1931","1541","2241","3.45","https://uploads8.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/portrait-of-luther-burbank-1931.jpg","0017_Portrait_of_Luther_Burbank_1541x2241.jpg","897819"
"18","Frida Kahlo","frida-kahlo","Frida and the Miscarriage","1932","1280","1692","2.17","https://uploads4.wikiart.org/00299/images/frida-kahlo/frida-kahlo-abortivo-main.jpg","0018_Frida_and_the_Miscarriage_1280x1692.jpg","661599"
"19","Frida Kahlo","frida-kahlo","Henry Ford Hospital (The Flying Bed)","1932","2305","1845","4.25","https://uploads7.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/henry-ford-hospital-the-flying-bed-1932.jpg","0019_Henry_Ford_Hospital_(The_Flying_Bed)_2305x1845.jpg","1528813"
"20","Frida Kahlo","frida-kahlo","My Birth","1932","1197","1039","1.24","https://uploads8.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/my-birth-1932.jpg","0020_My_Birth_1197x1039.jpg","460573"
"21","Frida Kahlo","frida-kahlo","Self-Portrait Along the Border Line Between Mexico and the United States","1932","750","653","0.49","https://uploads1.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-along-the-boarder-line-between-mexico-and-the-united-states-1932.jpg","0021_Self-Portrait_Along_the_Border_Line_Betw_750x653.jpg","90857"
"22","Frida Kahlo","frida-kahlo","My Dress Hangs There","1933","1957","1745","3.41","https://uploads2.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/my-dress-hangs-there-1933.jpg","0022_My_Dress_Hangs_There_1957x1745.jpg","1425903"
"23","Frida Kahlo","frida-kahlo","Self Portrait with Necklace","1933","1961","2351","4.61","https://uploads0.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-with-necklace-1933.jpg","0023_Self_Portrait_with_Necklace_1961x2351.jpg","1702434"
"24","Frida Kahlo","frida-kahlo","Self- Portrait Very Ugly","1933","579","811","0.47","https://uploads5.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-very-ugly-1933.jpg","0024_Self-_Portrait_Very_Ugly_579x811.jpg","171615"
"25","Frida Kahlo","frida-kahlo","A Few Small Nips (Passionately in Love)","1935","2429","1861","4.52","https://uploads1.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/a-few-small-nips-passionately-in-love-1935.jpg","0025_A_Few_Small_Nips_(Passionately_in_Love)_2429x1861.jpg","1725853"
"26","Frida Kahlo","frida-kahlo","Self Portrait with Curly Hair","1935","591","779","0.46","https://uploads2.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-with-curly-hair-1935.jpg","0026_Self_Portrait_with_Curly_Hair_591x779.jpg","66794"
