"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Gustav Klimt","gustav-klimt","Portrait of a Girl, Head Slightly Turned Left","1879","928","1232","1.14","https://uploads1.wikiart.org/images/gustav-klimt/portrait-of-a-girl-head-slightly-turned-left.jpg","0001_Portrait_of_a_Girl,_Head_Slightly_Turned_928x1232.jpg","87737"
"2","Gustav Klimt","gustav-klimt","Portrait of a man with beard","1879","848","1232","1.04","https://uploads3.wikiart.org/images/gustav-klimt/portrait-of-a-man-with-beard.jpg","0002_Portrait_of_a_man_with_beard_848x1232.jpg","101197"
"3","Gustav Klimt","gustav-klimt","Portrait of a man with beard in three quarter profile","1879","784","1232","0.97","https://uploads0.wikiart.org/images/gustav-klimt/portrait-of-a-man-with-beard-in-three-quarter-profil.jpg","0003_Portrait_of_a_man_with_beard_in_three_qu_784x1232.jpg","71750"
"4","Gustav Klimt","gustav-klimt","Klara Klimt","1880","992","1478","1.47","https://uploads5.wikiart.org/00475/images/gustav-klimt/klara-klimt-c-1880.jpg","0004_Klara_Klimt_992x1478.jpg","193553"
"5","Gustav Klimt","gustav-klimt","Head Study of a Girl from Haná","1883","992","1247","1.24","https://uploads3.wikiart.org/00475/images/gustav-klimt/head-study-of-a-girl-from-han-1883.jpg","0005_Head_Study_of_a_Girl_from_Haná_992x1247.jpg","481687"
"6","Gustav Klimt","gustav-klimt","Sitting Nude Man Turned to the Left","1883","992","1231","1.22","https://uploads0.wikiart.org/00475/images/gustav-klimt/sitting-nude-man-turned-to-the-left-1883.jpg","0006_Sitting_Nude_Man_Turned_to_the_Left_992x1231.jpg","443772"
"7","Gustav Klimt","gustav-klimt","Fable","1883","1280","907","1.16","https://uploads6.wikiart.org/00381/images/gustav-klimt/fable-gustav-klimt-gustav-klimt-67693-95163-1625195763.jpg","0007_Fable_1280x907.jpg","250760"
"8","Gustav Klimt","gustav-klimt","Design for a theater curtain","1883","1275","1616","2.06","https://uploads3.wikiart.org/images/gustav-klimt/design-for-a-theater-curtain.jpg","0008_Design_for_a_theater_curtain_1275x1616.jpg","239619"
"9","Gustav Klimt","gustav-klimt","Idylle (Idylls)","1884","900","576","0.52","https://uploads3.wikiart.org/00381/images/gustav-klimt/idylle-1884-gustav-klimt.jpg","0009_Idylle_(Idylls)_900x576.jpg","193747"
"10","Gustav Klimt","gustav-klimt","Female organ player","1885","1725","1275","2.2","https://uploads3.wikiart.org/images/gustav-klimt/female-organ-player.jpg","0010_Female_organ_player_1725x1275.jpg","175924"
"11","Gustav Klimt","gustav-klimt","Female Nude","1887","2560","1805","4.62","https://uploads4.wikiart.org/images/gustav-klimt/female-nude.jpg","0011_Female_Nude_2560x1805.jpg","349514"
"12","Gustav Klimt","gustav-klimt","Portrait of a Man Facing Left","1887","800","1056","0.84","https://uploads5.wikiart.org/images/gustav-klimt/portrait-of-a-man-heading-left.jpg","0012_Portrait_of_a_Man_Facing_Left_800x1056.jpg","68759"
"13","Gustav Klimt","gustav-klimt","Painted composition design to medicine","1888","2536","3508","8.9","https://uploads4.wikiart.org/images/gustav-klimt/painted-composition-design-to-medicine.jpg","0013_Painted_composition_design_to_medicine_2536x3508.jpg","1526861"
"14","Gustav Klimt","gustav-klimt","The Globe Theatre in London","1888","1712","1072","1.84","https://uploads2.wikiart.org/images/gustav-klimt/the-globe-theatre-in-london.jpg","0014_The_Globe_Theatre_in_London_1712x1072.jpg","108059"
"15","Gustav Klimt","gustav-klimt","Allegory of Sculpture","1889","1136","1648","1.87","https://uploads5.wikiart.org/images/gustav-klimt/allegory-of-sculpture.jpg","0015_Allegory_of_Sculpture_1136x1648.jpg","153262"
"16","Gustav Klimt","gustav-klimt","The Old Burgtheater","1889","794","700","0.56","https://uploads0.wikiart.org/00381/images/gustav-klimt/gustavklimt-auditoriumintheoldburgtheater-vienna.jpg","0016_The_Old_Burgtheater_794x700.jpg","346686"
"17","Gustav Klimt","gustav-klimt","Portrait of Joseph Pembauer","1890","859","1000","0.86","https://uploads2.wikiart.org/images/gustav-klimt/portrait-of-joseph-pembauer.jpg","0017_Portrait_of_Joseph_Pembauer_859x1000.jpg","260848"
"18","Gustav Klimt","gustav-klimt","Sappho","1890","2024","2566","5.19","https://uploads4.wikiart.org/images/gustav-klimt/sappho-1890.jpg","0018_Sappho_2024x2566.jpg","693861"
"19","Gustav Klimt","gustav-klimt","Two Girls With An Oleander","1890","2262","962","2.18","https://uploads1.wikiart.org/images/gustav-klimt/two-girls-with-an-oleander.jpg","0019_Two_Girls_With_An_Oleander_2262x962.jpg","271488"
"20","Gustav Klimt","gustav-klimt","Emilie Flöge, Aged 17","1891","1920","3093","5.94","https://uploads0.wikiart.org/images/gustav-klimt/emilie-flöge-aged-17-1891.jpg","0020_Emilie_Flöge,_Aged_17_1920x3093.jpg","1256015"
"21","Gustav Klimt","gustav-klimt","Portrait of Emilie Flöge","1893","510","901","0.46","https://uploads1.wikiart.org/images/gustav-klimt/portrait-of-emilie-flöge-1.jpg","0021_Portrait_of_Emilie_Flöge_510x901.jpg","482549"
"22","Gustav Klimt","gustav-klimt","Young Girl Seated","1894","1971","3000","5.91","https://uploads0.wikiart.org/00475/images/gustav-klimt/young-girl-seated-1894.jpg","0022_Young_Girl_Seated_1971x3000.jpg","1819157"
"23","Gustav Klimt","gustav-klimt","Portrait of a lady","1894","2024","2773","5.61","https://uploads2.wikiart.org/images/gustav-klimt/portrait-of-a-lady.jpg","0023_Portrait_of_a_lady_2024x2773.jpg","575067"
"24","Gustav Klimt","gustav-klimt","Portrait of Marie Breunig","1894","2024","4678","9.47","https://uploads0.wikiart.org/images/gustav-klimt/portrait-of-marie-breunig.jpg","0024_Portrait_of_Marie_Breunig_2024x4678.jpg","2310836"
"25","Gustav Klimt","gustav-klimt","Draft of a theater curtain","1894","2536","3315","8.41","https://uploads1.wikiart.org/images/gustav-klimt/draft-of-a-theater-curtain.jpg","0025_Draft_of_a_theater_curtain_2536x3315.jpg","2219496"
"26","Gustav Klimt","gustav-klimt","Josef Lewinsky","1895","1576","2377","3.75","https://uploads7.wikiart.org/images/gustav-klimt/josef-lewinsky.jpg","0026_Josef_Lewinsky_1576x2377.jpg","368482"
"27","Gustav Klimt","gustav-klimt","Love","1895","568","800","0.45","https://uploads2.wikiart.org/images/gustav-klimt/love-1895.jpg","0027_Love_568x800.jpg","94096"
"28","Gustav Klimt","gustav-klimt","Music","1895","3000","2310","6.93","https://uploads8.wikiart.org/00475/images/gustav-klimt/music-1-1895.jpg","0028_Music_3000x2310.jpg","4069402"
