"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Leonardo da Vinci","leonardo-da-vinci","Drapery for a seated figure","1470","851","650","0.55","https://uploads0.wikiart.org/images/leonardo-da-vinci/drapery-for-a-seated-figure-1.jpg","0001_Drapery_for_a_seated_figure_851x650.jpg","91437"
"2","Leonardo da Vinci","leonardo-da-vinci","Annunciation","1472","1200","546","0.66","https://uploads1.wikiart.org/00226/images/leonardo-da-vinci/1503990074029518-568314.jpg","0002_Annunciation_1200x546.jpg","88714"
"3","Leonardo da Vinci","leonardo-da-vinci","Profile of a warrior in helmet","1472","730","1010","0.74","https://uploads1.wikiart.org/images/leonardo-da-vinci/profile-of-a-warrior-in-helmet.jpg","0003_Profile_of_a_warrior_in_helmet_730x1010.jpg","138614"
"4","Leonardo da Vinci","leonardo-da-vinci","The Study of Drapery of a Seated Figure","1473","700","822","0.58","https://uploads8.wikiart.org/00226/images/leonardo-da-vinci/the-study-of-drapery-of-a-seated-figure.jpg","0004_The_Study_of_Drapery_of_a_Seated_Figure_700x822.jpg","100357"
"5","Leonardo da Vinci","leonardo-da-vinci","Sleeve Study for the Annunciation","1473","765","782","0.6","https://uploads2.wikiart.org/00226/images/leonardo-da-vinci/sleeve-study-for-the-annunciation.jpg","0005_Sleeve_Study_for_the_Annunciation_765x782.jpg","96872"
"6","Leonardo da Vinci","leonardo-da-vinci","Landscape drawing for Santa Maria della Neve","1473","941","650","0.61","https://uploads2.wikiart.org/images/leonardo-da-vinci/landscape-drawing-for-santa-maria-della-neve-1473.jpg","0006_Landscape_drawing_for_Santa_Maria_della_941x650.jpg","143139"
"7","Leonardo da Vinci","leonardo-da-vinci","Woman's Head","1473","830","1145","0.95","https://uploads1.wikiart.org/images/leonardo-da-vinci/woman-s-head.jpg","0007_Woman's_Head_830x1145.jpg","154560"
"8","Leonardo da Vinci","leonardo-da-vinci","Portrait of Ginevra Benci","1474","1024","1087","1.11","https://uploads5.wikiart.org/images/leonardo-da-vinci/portrait-of-ginevra-benci.jpg","0008_Portrait_of_Ginevra_Benci_1024x1087.jpg","144649"
"9","Leonardo da Vinci","leonardo-da-vinci","Study of hands","1474","730","1042","0.76","https://uploads3.wikiart.org/images/leonardo-da-vinci/study-of-hands.jpg","0009_Study_of_hands_730x1042.jpg","92960"
"10","Leonardo da Vinci","leonardo-da-vinci","The Baptism of Christ","1475","600","715","0.43","https://uploads7.wikiart.org/00339/images/leonardo-da-vinci/the-baptism-of-christ-c-1475.png","0010_The_Baptism_of_Christ_600x715.png","806623"
