"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Michelangelo","michelangelo","The Torment of Saint Anthony","1487","1785","2400","4.28","https://uploads3.wikiart.org/images/michelangelo/the-torment-of-saint-anthony.jpg","0001_The_Torment_of_Saint_Anthony_1785x2400.jpg","815841"
"2","Michelangelo","michelangelo","Madonna of the Stairs","1490","400","551","0.22","https://uploads5.wikiart.org/images/michelangelo/madonna-of-the-stairs.jpg","0002_Madonna_of_the_Stairs_400x551.jpg","16950"
"3","Michelangelo","michelangelo","Crucifixion","1492","651","912","0.59","https://uploads0.wikiart.org/images/michelangelo/crucifixion-1492.jpg","0003_Crucifixion_651x912.jpg","64022"
"4","Michelangelo","michelangelo","St. Petronius","1494","435","906","0.39","https://uploads1.wikiart.org/images/michelangelo/st-petronius-1494.jpg","0004_St._Petronius_435x906.jpg","78539"
"5","Michelangelo","michelangelo","St. Proculus","1494","426","908","0.39","https://uploads0.wikiart.org/images/michelangelo/st-proculus-1494.jpg","0005_St._Proculus_426x908.jpg","75615"
"6","Michelangelo","michelangelo","Angel with Candlestick","1495","645","892","0.58","https://uploads2.wikiart.org/images/michelangelo/angel-with-candlestick-1495.jpg","0006_Angel_with_Candlestick_645x892.jpg","97726"
"7","Michelangelo","michelangelo","Bacchus","1497","577","1000","0.58","https://uploads5.wikiart.org/images/michelangelo/bacchus-1497.jpg","0007_Bacchus_577x1000.jpg","59622"
"8","Michelangelo","michelangelo","The Virgin and Child with Saint John and Angels (Manchester Madonna)","1497","561","756","0.42","https://uploads5.wikiart.org/images/michelangelo/the-virgin-and-child-with-saint-john-and-angels-manchester-madonna.jpg","0008_The_Virgin_and_Child_with_Saint_John_and_561x756.jpg","194922"
"9","Michelangelo","michelangelo","Our Lady of Piety","1499","1584","1660","2.63","https://uploads2.wikiart.org/00512/images/michelangelo/pieta-de-michelangelo-vaticano.jpg","0009_Our_Lady_of_Piety_1584x1660.jpg","1417067"
"10","Michelangelo","michelangelo","Pieta","1499","1584","1660","2.63","https://uploads3.wikiart.org/images/michelangelo/pieta-1499.jpg","0010_Pieta_1584x1660.jpg","657762"
