"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Pablo Picasso","pablo-picasso","The picador","1890","1315","1716","2.26","https://uploads1.wikiart.org/images/pablo-picasso/the-picador-1890.jpg","0001_The_picador_1315x1716.jpg","619833"
"2","Pablo Picasso","pablo-picasso","House in the field","1893","1088","718","0.78","https://uploads8.wikiart.org/images/pablo-picasso/house-in-the-field-1893.jpg","0002_House_in_the_field_1088x718.jpg","450664"
"3","Pablo Picasso","pablo-picasso","Plaster male torso","1893","1180","1867","2.2","https://uploads8.wikiart.org/images/pablo-picasso/plaster-male-torso-1893.jpg","0003_Plaster_male_torso_1180x1867.jpg","223749"
"4","Pablo Picasso","pablo-picasso","Academical study","1895","1479","2025","2.99","https://uploads1.wikiart.org/images/pablo-picasso/academical-study.jpg","0004_Academical_study_1479x2025.jpg","618931"
"5","Pablo Picasso","pablo-picasso","Bust of young man","1895","944","1088","1.03","https://uploads2.wikiart.org/images/pablo-picasso/bust-of-young-man.jpg","0005_Bust_of_young_man_944x1088.jpg","425326"
"6","Pablo Picasso","pablo-picasso","Female nude from back","1895","660","1088","0.72","https://uploads2.wikiart.org/images/pablo-picasso/female-nude-from-back-1895.jpg","0006_Female_nude_from_back_660x1088.jpg","397540"
"7","Pablo Picasso","pablo-picasso","The barefoot girl","1895","1573","2454","3.86","https://uploads7.wikiart.org/images/pablo-picasso/the-barefoot-girl-1895.jpg","0007_The_barefoot_girl_1573x2454.jpg","614828"
"8","Pablo Picasso","pablo-picasso","The old fisherman","1895","827","1088","0.9","https://uploads7.wikiart.org/images/pablo-picasso/the-old-fisherman-1895.jpg","0008_The_old_fisherman_827x1088.jpg","467215"
"9","Pablo Picasso","pablo-picasso","Alicante, view of boats","1895","1088","685","0.75","https://uploads7.wikiart.org/images/pablo-picasso/alicante-view-of-boats.jpg","0009_Alicante,_view_of_boats_1088x685.jpg","408176"
"10","Pablo Picasso","pablo-picasso","View of the port of Valencia","1895","1088","682","0.74","https://uploads4.wikiart.org/images/pablo-picasso/view-of-the-port-of-valencia.jpg","0010_View_of_the_port_of_Valencia_1088x682.jpg","415214"
"11","Pablo Picasso","pablo-picasso","Artist's mother","1896","716","1088","0.78","https://uploads5.wikiart.org/images/pablo-picasso/artist-s-mother-1896.jpg","0011_Artist's_mother_716x1088.jpg","452382"
"12","Pablo Picasso","pablo-picasso","First Communion","1896","736","1070","0.79","https://uploads5.wikiart.org/00451/images/pablo-picasso/1900first-communion.jpg","0012_First_Communion_736x1070.jpg","119674"
"13","Pablo Picasso","pablo-picasso","Head of a child","1896","955","1088","1.04","https://uploads5.wikiart.org/images/pablo-picasso/head-of-a-child-1896.jpg","0013_Head_of_a_child_955x1088.jpg","625074"
"14","Pablo Picasso","pablo-picasso","Portrait of aunt Pepa","1896","952","1088","1.04","https://uploads2.wikiart.org/images/pablo-picasso/portrait-of-aunt-pepa-1896.jpg","0014_Portrait_of_aunt_Pepa_952x1088.jpg","391005"
"15","Pablo Picasso","pablo-picasso","Portrait of the Artist's Mother","1896","1315","1780","2.34","https://uploads3.wikiart.org/images/pablo-picasso/portrait-of-the-artist-s-mother-1896.jpg","0015_Portrait_of_the_Artist's_Mother_1315x1780.jpg","430624"
"16","Pablo Picasso","pablo-picasso","Quarries","1896","1088","819","0.89","https://uploads7.wikiart.org/images/pablo-picasso/quarries-1896.jpg","0016_Quarries_1088x819.jpg","622664"
"17","Pablo Picasso","pablo-picasso","Self-Portrait","1896","1422","2162","3.07","https://uploads3.wikiart.org/images/pablo-picasso/self-portrait-1896.jpg","0017_Self-Portrait_1422x2162.jpg","505377"
"18","Pablo Picasso","pablo-picasso","The altarboy","1896","719","1088","0.78","https://uploads2.wikiart.org/images/pablo-picasso/the-altarboy-1896.jpg","0018_The_altarboy_719x1088.jpg","334657"
"19","Pablo Picasso","pablo-picasso","Advertisement for tavern ""Four cats""","1897","1782","1175","2.09","https://uploads6.wikiart.org/images/pablo-picasso/advertisement-for-tavern-four-cats-1897.jpg","0019_Advertisement_for_tavern_Four_cats_1782x1175.jpg","340332"
"20","Pablo Picasso","pablo-picasso","Science and Charity","1897","1804","1411","2.55","https://uploads0.wikiart.org/images/pablo-picasso/science-and-charity-1897.jpg","0020_Science_and_Charity_1804x1411.jpg","500519"
"21","Pablo Picasso","pablo-picasso","Mule","1898","1088","827","0.9","https://uploads0.wikiart.org/images/pablo-picasso/mule-1.jpg","0021_Mule_1088x827.jpg","527770"
"22","Pablo Picasso","pablo-picasso","Head of a Man in El Greco style","1899","1433","1606","2.3","https://uploads3.wikiart.org/images/pablo-picasso/head-of-a-man-in-el-greco-style-1899.jpg","0022_Head_of_a_Man_in_El_Greco_style_1433x1606.jpg","250884"
