"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Rembrandt","rembrandt","Old man with turban","1625","300","400","0.12","https://uploads0.wikiart.org/images/rembrandt/old-man-with-turban.jpg","0001_Old_man_with_turban_300x400.jpg","96683"
"2","Rembrandt","rembrandt","The Stoning Of St. Stephen","1625","1000","741","0.74","https://uploads2.wikiart.org/images/rembrandt/the-stoning-of-st-stephen-1625.jpg","0002_The_Stoning_Of_St._Stephen_1000x741.jpg","903826"
"3","Rembrandt","rembrandt","The Sense Of Sight","1625","866","1000","0.87","https://uploads8.wikiart.org/images/rembrandt/the-sense-of-sight.jpg","0003_The_Sense_Of_Sight_866x1000.jpg","549273"
"4","Rembrandt","rembrandt","Artist in his Studio","1626","899","700","0.63","https://uploads6.wikiart.org/images/rembrandt/artist-in-his-studio-1626.jpg","0004_Artist_in_his_Studio_899x700.jpg","136556"
"5","Rembrandt","rembrandt","Balaam's Ass","1626","727","1000","0.73","https://uploads7.wikiart.org/images/rembrandt/balaam-s-ass-1626.jpg","0005_Balaam's_Ass_727x1000.jpg","208259"
"6","Rembrandt","rembrandt","Christ Driving the Moneychangers from the Temple","1626","753","1000","0.75","https://uploads7.wikiart.org/images/rembrandt/christ-driving-the-moneychangers-from-the-temple-1626.jpg","0006_Christ_Driving_the_Moneychangers_from_th_753x1000.jpg","841999"
"7","Rembrandt","rembrandt","History Painting","1626","1000","740","0.74","https://uploads2.wikiart.org/images/rembrandt/history-painting-1626.jpg","0007_History_Painting_1000x740.jpg","964865"
"8","Rembrandt","rembrandt","Musical Allegory","1626","1201","1600","1.92","https://uploads2.wikiart.org/images/rembrandt/musical-allegory-1626.jpg","0008_Musical_Allegory_1201x1600.jpg","301549"
"9","Rembrandt","rembrandt","The Baptism Of The Eunuch","1626","754","1000","0.75","https://uploads2.wikiart.org/images/rembrandt/the-baptism-of-the-eunuch-1626.jpg","0009_The_Baptism_Of_The_Eunuch_754x1000.jpg","767359"
"10","Rembrandt","rembrandt","Two Studies of the Head of an Old Man","1626","640","382","0.24","https://uploads0.wikiart.org/images/rembrandt/two-studies-of-the-head-of-an-old-man.jpg","0010_Two_Studies_of_the_Head_of_an_Old_Man_640x382.jpg","107704"
