"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Sandro Botticelli","sandro-botticelli","Adoration of the Magi","1467","4096","1478","6.05","https://uploads0.wikiart.org/images/sandro-botticelli/adoration-of-the-magi-1467(1).jpg","0001_Adoration_of_the_Magi_4096x1478.jpg","568423"
"2","Sandro Botticelli","sandro-botticelli","Madonna and Child","1467","800","1108","0.89","https://uploads0.wikiart.org/images/sandro-botticelli/madonna-and-child(1).jpg","0002_Madonna_and_Child_800x1108.jpg","109473"
"3","Sandro Botticelli","sandro-botticelli","Madonna with two angels","1468","2024","2798","5.66","https://uploads6.wikiart.org/images/sandro-botticelli/madonna-with-two-angels(1).jpg","0003_Madonna_with_two_angels_2024x2798.jpg","402911"
"4","Sandro Botticelli","sandro-botticelli","Portrait of a Young Man","1469","820","1229","1.01","https://uploads6.wikiart.org/images/sandro-botticelli/portrait-of-a-young-man(1).jpg","0004_Portrait_of_a_Young_Man_820x1229.jpg","113422"
"5","Sandro Botticelli","sandro-botticelli","Virgin and child with two angels","1469","2453","3469","8.51","https://uploads2.wikiart.org/images/sandro-botticelli/virgin-and-child-with-two-angels-1469(1).jpg","0005_Virgin_and_child_with_two_angels_2453x3469.jpg","1307809"
"6","Sandro Botticelli","sandro-botticelli","Fortitude","1470","655","1239","0.81","https://uploads1.wikiart.org/images/sandro-botticelli/fortitude(1).jpg","0006_Fortitude_655x1239.jpg","142321"
"7","Sandro Botticelli","sandro-botticelli","Madonna and Child","1470","338","500","0.17","https://uploads5.wikiart.org/images/sandro-botticelli/madonna-and-child-1470(1).jpg","0007_Madonna_and_Child_338x500.jpg","169795"
"8","Sandro Botticelli","sandro-botticelli","Madonna and Child with Six Saints","1470","1030","886","0.91","https://uploads7.wikiart.org/images/sandro-botticelli/madonna-and-child-with-six-saints(1).jpg","0008_Madonna_and_Child_with_Six_Saints_1030x886.jpg","138543"
"9","Sandro Botticelli","sandro-botticelli","Madonna in Glory with Seraphim","1470","650","1341","0.87","https://uploads0.wikiart.org/images/sandro-botticelli/madonna-in-glory-with-seraphim-1470(1).jpg","0009_Madonna_in_Glory_with_Seraphim_650x1341.jpg","144121"
"10","Sandro Botticelli","sandro-botticelli","Madonna of the Rosegarden","1470","750","1220","0.92","https://uploads4.wikiart.org/images/sandro-botticelli/madonna-of-the-rosegarden-1470(1).jpg","0010_Madonna_of_the_Rosegarden_750x1220.jpg","147335"
"11","Sandro Botticelli","sandro-botticelli","The Madonna of the Roses","1470","373","737","0.27","https://uploads7.wikiart.org/images/sandro-botticelli/the-madonna-of-the-roses(1).jpg","0011_The_Madonna_of_the_Roses_373x737.jpg","81262"
