CuratedIndex,Artist,Title,Year,Museum,Width,Height,Megapixels,FileSizeBytes,FileSizeMB,FileName,SourcePath
1,Sandro Botticelli,The Birth of Venus,1485–1486,"Uffizi Gallery, Florence",5000,3140,15.7,5969383,5.69,01_Sandro_Botticelli_-_The_Birth_of_Venus.jpg,paintings_output/012_Sandro_Botticelli_-_The_Birth_of_Venus_5000x3140.jpg
2,Sandro Botticelli,The Spring (Primavera),1477–1482,"Uffizi Gallery, Florence",4926,3236,15.94,6679700,6.37,02_Sandro_Botticelli_-_The_Spring_(Primavera).jpg,paintings_output/092_Sandro_Botticelli_-_The_Spring_4926x3236.jpg
3,Sandro Botticelli,The Mystical Nativity,1500,"National Gallery, London",2541,3642,9.25,5661820,5.4,03_Sandro_Botticelli_-_The_Mystical_Nativity.jpg,artist_paintings/Sandro_Botticelli/0120_The_Mystical_Nativity_2541x3642.jpg
4,Sandro Botticelli,The Story of Nastagio Degli Onesti,1483,"Museo del Prado, Madrid",2560,1469,3.76,468779,0.45,04_Sandro_Botticelli_-_The_Story_of_Nastagio_Degli_Onesti.jpg,artist_paintings/Sandro_Botticelli/0060_The_Story_of_Nastagio_Degli_Onesti_-_The_2560x1469.jpg
5,Sandro Botticelli,Calumny of Apelles,1494–1495,"Uffizi Gallery, Florence",3200,2220,7.1,1004253,0.96,05_Sandro_Botticelli_-_Calumny_of_Apelles.jpg,artist_paintings/Sandro_Botticelli/0105_Calumny_of_Apelles_3200x2220.jpg
6,Leonardo da Vinci,Mona Lisa,1503–1519,"Musée du Louvre, Paris",5000,7452,37.26,14911729,14.22,06_Leonardo_da_Vinci_-_Mona_Lisa.jpg,paintings_output/002_Leonardo_da_Vinci_-_Mona_Lisa_5000x7452.jpg
7,Leonardo da Vinci,The Last Supper,1495–1498,"Santa Maria delle Grazie, Milan",5193,2926,15.19,9242484,8.81,07_Leonardo_da_Vinci_-_The_Last_Supper.jpg,paintings_output/051_Leonardo_da_Vinci_-_The_Last_Supper_5193x2926.jpg
8,Leonardo da Vinci,Lady with an Ermine,1489–1490,"Czartoryski Museum, Kraków",3543,4876,17.28,3497427,3.34,08_Leonardo_da_Vinci_-_Lady_with_an_Ermine.jpg,paintings_output/049_Leonardo_da_Vinci_-_The_Lady_with_an_Ermine_(Cecilia_Ga_3543x4876.jpg
9,Leonardo da Vinci,Vitruvian Man,1490,"Gallerie dell'Accademia, Venice",2258,3070,6.93,6089809,5.81,09_Leonardo_da_Vinci_-_Vitruvian_Man.jpg,paintings_output/023_Leonardo_da_Vinci_-_The_proportions_of_the_human_figure_2258x3070.jpg
10,Leonardo da Vinci,Portrait of Ginevra de' Benci,1474–1478,"National Gallery of Art, Washington D.C.",1024,1087,1.11,144649,0.14,10_Leonardo_da_Vinci_-_Portrait_of_Ginevra_de'_Benci.jpg,artist_paintings/Leonardo_da_Vinci/0008_Portrait_of_Ginevra_Benci_1024x1087.jpg
