"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Vincent van Gogh","vincent-van-gogh","The Goat Herd","1862","1024","775","0.79","https://uploads6.wikiart.org/images/vincent-van-gogh/the-goat-herd-1862.jpg","0001_The_Goat_Herd_1024x775.jpg","132553"
"2","Vincent van Gogh","vincent-van-gogh","Dog","1862","1890","1214","2.29","https://uploads3.wikiart.org/images/vincent-van-gogh/dog(1).jpg","0002_Dog_1890x1214.jpg","1686344"
"3","Vincent van Gogh","vincent-van-gogh","Milk Jug","1862","1292","1602","2.07","https://uploads5.wikiart.org/images/vincent-van-gogh/milk-jug.jpg","0003_Milk_Jug_1292x1602.jpg","373781"
"4","Vincent van Gogh","vincent-van-gogh","Barn and Farmhouse","1864","2681","1974","5.29","https://uploads0.wikiart.org/images/vincent-van-gogh/barn-and-farmhouse(1).jpg","0004_Barn_and_Farmhouse_2681x1974.jpg","4010466"
"5","Vincent van Gogh","vincent-van-gogh","Two Sketches of a Man Leaning on His Spade","1867","1012","1024","1.04","https://uploads8.wikiart.org/images/vincent-van-gogh/two-sketches-of-a-man-leaning-on-his-spade-1867.jpg","0005_Two_Sketches_of_a_Man_Leaning_on_His_Spa_1012x1024.jpg","203183"
"6","Vincent van Gogh","vincent-van-gogh","Old Woman Asleep after Rops","1873","1650","2259","3.73","https://uploads2.wikiart.org/images/vincent-van-gogh/old-woman-asleep-after-rops-1873.jpg","0006_Old_Woman_Asleep_after_Rops_1650x2259.jpg","1158907"
"7","Vincent van Gogh","vincent-van-gogh","Vincent's Boarding House in Hackford Road, Brixton, London","1873","1024","736","0.75","https://uploads8.wikiart.org/images/vincent-van-gogh/vincent-s-boarding-house-in-hackford-road-brixton-london.jpg","0007_Vincent's_Boarding_House_in_Hackford_Roa_1024x736.jpg","313310"
"8","Vincent van Gogh","vincent-van-gogh","Driveway","1873","1941","1581","3.07","https://uploads8.wikiart.org/images/vincent-van-gogh/driveway(1).jpg","0008_Driveway_1941x1581.jpg","887365"
"9","Vincent van Gogh","vincent-van-gogh","Canal","1873","1950","1920","3.74","https://uploads5.wikiart.org/images/vincent-van-gogh/canal(1).jpg","0009_Canal_1950x1920.jpg","1139885"
"10","Vincent van Gogh","vincent-van-gogh","Austin Friars Church, London","1874","1641","999","1.64","https://uploads0.wikiart.org/images/vincent-van-gogh/austin-friars-church-london(1).jpg","0010_Austin_Friars_Church,_London_1641x999.jpg","1387897"
"11","Vincent van Gogh","vincent-van-gogh","Town d'Avray: L'Etang au Batelier","1875","801","1024","0.82","https://uploads7.wikiart.org/images/vincent-van-gogh/town-d-avray-l-etang-au-batelier-1875.jpg","0011_Town_d'Avray_L'Etang_au_Batelier_801x1024.jpg","129239"
"12","Vincent van Gogh","vincent-van-gogh","Vicarage and Church at Etten","1876","1668","854","1.42","https://uploads3.wikiart.org/images/vincent-van-gogh/vicarage-and-church-at-etten-1876.jpg","0012_Vicarage_and_Church_at_Etten_1668x854.jpg","429109"
"13","Vincent van Gogh","vincent-van-gogh","Vicarage at Etten","1876","1080","531","0.57","https://uploads1.wikiart.org/images/vincent-van-gogh/vicarage-at-etten-1876.jpg","0013_Vicarage_at_Etten_1080x531.jpg","177537"
"14","Vincent van Gogh","vincent-van-gogh","View of Royal Road, Ramsgate","1876","990","1024","1.01","https://uploads2.wikiart.org/images/vincent-van-gogh/view-of-royal-road-ramsgate-1876.jpg","0014_View_of_Royal_Road,_Ramsgate_990x1024.jpg","188812"
"15","Vincent van Gogh","vincent-van-gogh","View of Royal Road, Ramsgate","1876","1271","787","1","https://uploads4.wikiart.org/images/vincent-van-gogh/view-of-royal-road-ramsgate-1876-1.jpg","0015_View_of_Royal_Road,_Ramsgate_1271x787.jpg","301802"
"16","Vincent van Gogh","vincent-van-gogh","Churches at Petersham and Turnham Green","1876","1024","459","0.47","https://uploads3.wikiart.org/images/vincent-van-gogh/churches-at-petersham-and-turnham-green(1).jpg","0016_Churches_at_Petersham_and_Turnham_Green_1024x459.jpg","175231"
