Rank,Title,Artist,Year,Width,Height,Megapixels,HighResUrl,WikiArtUrl,LocalFileName,FileSizeBytes
2,Mona Lisa,Leonardo da Vinci,1503-1519,5000,7452,37.26,https://uploads6.wikiart.org/00142/images/leonardo-da-vinci/mona-lisa.jpg,https://www.wikiart.org/en/leonardo-da-vinci/mona-lisa,002_Leonardo_da_Vinci_-_Mona_Lisa_5000x7452.jpg,14911729
3,The Starry Night,Vincent van Gogh,1889,5000,3959,19.8,https://uploads3.wikiart.org/00142/images/vincent-van-gogh/the-starry-night.jpg,https://www.wikiart.org/en/vincent-van-gogh/the-starry-night-1889,003_Vincent_van_Gogh_-_The_Starry_Night_5000x3959.jpg,9150166
6,"Impression, sunrise",Claude Monet,1872,5773,4478,25.85,https://uploads8.wikiart.org/00129/images/claude-monet/impression-sunrise.jpg,https://www.wikiart.org/en/claude-monet/impression-sunrise,"006_Claude_Monet_-_Impression,_sunrise_5773x4478.jpg",7105965
7,Fallen Angel,Alexandre Cabanel,1868,1280,812,1.04,https://uploads0.wikiart.org/00242/images/alexandre-cabanel/fallen-angel-alexandre-cabanel.jpg,https://www.wikiart.org/en/alexandre-cabanel/fallen-angel,007_Alexandre_Cabanel_-_Fallen_Angel_1280x812.jpg,362016
8,The Kiss,Gustav Klimt,1907-1908,5000,5017,25.08,https://uploads6.wikiart.org/00142/images/57726d7eedc2cb3880b47e13/the-kiss-gustav-klimt-google-cultural-institute.jpg,https://www.wikiart.org/en/gustav-klimt/the-kiss-1908,008_Gustav_Klimt_-_The_Kiss_5000x5017.jpg,11877975
9,The Scream,Edvard Munch,1893,3000,3822,11.47,https://uploads1.wikiart.org/00130/images/edvard-munch/the-scream.jpg,https://www.wikiart.org/en/edvard-munch/the-scream-1893,009_Edvard_Munch_-_The_Scream_3000x3822.jpg,4219156
10,Saturn Devouring One of His Sons,Francisco Goya,1819-1823,1661,3051,5.07,https://uploads8.wikiart.org/images/francisco-goya/saturn-devouring-one-of-his-children-1823.jpg,https://www.wikiart.org/en/francisco-goya/saturn-devouring-his-son-1823-1,010_Francisco_Goya_-_Saturn_Devouring_One_of_His_Sons_1661x3051.jpg,1716983
11,The Garden of Earthly Delights,Hieronymus Bosch,1510-1515,8533,4325,36.91,https://uploads6.wikiart.org/images/hieronymus-bosch/the-garden-of-earthly-delights-1515-7.jpg,https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-1515-7,011_Hieronymus_Bosch_-_The_Garden_of_Earthly_Delights_8533x4325.jpg,6675952
12,The Birth of Venus,Sandro Botticelli,1483-1485,5000,3140,15.7,https://uploads5.wikiart.org/00142/images/57726d7dedc2cb3880b47c88/sandro-botticelli-la-nascita-di-venere-google-art-project-edited.jpg,https://www.wikiart.org/en/sandro-botticelli/the-birth-of-venus-1485,012_Sandro_Botticelli_-_The_Birth_of_Venus_5000x3140.jpg,5969383
14,Sistine Chapel Ceiling: Creation of Adam,Michelangelo,1510,4256,2843,12.1,https://uploads2.wikiart.org/00245/images/57726d7fedc2cb3880b4805e/creaci-n-de-ad-n.jpg,https://www.wikiart.org/en/michelangelo/sistine-chapel-ceiling-creation-of-adam-1510,014_Michelangelo_-_Sistine_Chapel_Ceiling_Creation_of_4256x2843.jpg,9494881
16,The Gleaners,Jean-Francois Millet,1857,5357,4009,21.48,https://uploads3.wikiart.org/00144/images/jean-francois-millet/jean-fran-ois-millet-gleaners-google-art-project.jpg,https://www.wikiart.org/en/jean-francois-millet/the-gleaners-1857,016_Jean-Francois_Millet_-_The_Gleaners_5357x4009.jpg,7895184
19,The Girl with a Pearl Earring,Johannes Vermeer,1665,4095,4794,19.63,https://uploads5.wikiart.org/00129/images/johannes-vermeer/the-girl-with-a-pearl-earring.jpg,https://www.wikiart.org/en/johannes-vermeer/the-girl-with-a-pearl-earring,019_Johannes_Vermeer_-_The_Girl_with_a_Pearl_Earring_4095x4794.jpg,6229244
21,The Storm on the Sea of Galilee,Rembrandt,1633,1930,2400,4.63,https://uploads8.wikiart.org/00142/images/rembrandt/christ-in-the-storm.jpg,https://www.wikiart.org/en/rembrandt/christ-in-the-storm-1633,021_Rembrandt_-_The_Storm_on_the_Sea_of_Galilee_1930x2400.jpg,2220536
22,The School of Athens,Raphael,1510-1511,3820,2964,11.32,https://uploads0.wikiart.org/00207/images/57726d83edc2cb3880b487fe/.jpg,https://www.wikiart.org/en/raphael/school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511,022_Raphael_-_The_School_of_Athens_3820x2964.jpg,2468838
